subject,checker_type,destination,tested_at
www.ws002.ws.tidafors.xyz,AVAILABILITY,domains.list,49:45.4
www.ws001.ws.tidafors.xyz,AVAILABILITY,domains.list,49:46.0
www.ws003.ws.tidafors.xyz,AVAILABILITY,domains.list,49:46.7
www.ws004.ws.tidafors.xyz,AVAILABILITY,domains.list,49:47.4
www.ws006.ws.tidafors.xyz,AVAILABILITY,domains.list,49:48.1
www.ws005.ws.tidafors.xyz,AVAILABILITY,domains.list,49:48.7
www.ws007.ws.tidafors.xyz,AVAILABILITY,domains.list,49:49.4
www.ws011.ws.tidafors.xyz,AVAILABILITY,domains.list,49:50.1
www.ws009.ws.tidafors.xyz,AVAILABILITY,domains.list,49:50.7
www.ws008.ws.tidafors.xyz,AVAILABILITY,domains.list,49:51.3
www.ws012.ws.tidafors.xyz,AVAILABILITY,domains.list,49:51.9
www.ws013.ws.tidafors.xyz,AVAILABILITY,domains.list,49:52.5
www.ws010.ws.tidafors.xyz,AVAILABILITY,domains.list,49:53.1
www.ws014.ws.tidafors.xyz,AVAILABILITY,domains.list,49:53.7
www.ws015.ws.tidafors.xyz,AVAILABILITY,domains.list,49:54.4
www.ws016.ws.tidafors.xyz,AVAILABILITY,domains.list,49:55.1
www.ws017.ws.tidafors.xyz,AVAILABILITY,domains.list,49:55.8
www.ws018.ws.tidafors.xyz,AVAILABILITY,domains.list,49:56.4
www.ws019.ws.tidafors.xyz,AVAILABILITY,domains.list,49:57.0
www.ws021.ws.tidafors.xyz,AVAILABILITY,domains.list,49:57.7
www.ws020.ws.tidafors.xyz,AVAILABILITY,domains.list,49:58.3
www.ws024.ws.tidafors.xyz,AVAILABILITY,domains.list,49:59.0
www.ws023.ws.tidafors.xyz,AVAILABILITY,domains.list,49:59.6
www.ws022.ws.tidafors.xyz,AVAILABILITY,domains.list,50:00.3
www.ws025.ws.tidafors.xyz,AVAILABILITY,domains.list,50:00.8
www.ws026.ws.tidafors.xyz,AVAILABILITY,domains.list,50:01.5
www.ws027.ws.tidafors.xyz,AVAILABILITY,domains.list,50:02.2
www.ws028.ws.tidafors.xyz,AVAILABILITY,domains.list,50:08.0
www.ws029.ws.tidafors.xyz,AVAILABILITY,domains.list,50:08.7
www.ws.tidafors.xyz,AVAILABILITY,domains.list,50:09.3
www.ws030.ws.tidafors.xyz,AVAILABILITY,domains.list,50:10.0
www.ws032.ws.tidafors.xyz,AVAILABILITY,domains.list,50:10.7
www.ws031.ws.tidafors.xyz,AVAILABILITY,domains.list,50:11.4
xmr.cryptonoter.com,AVAILABILITY,domains.list,50:18.4
api.coin-hive.com,AVAILABILITY,domains.list,50:18.9
